PSD-95 mutant,,,,,
"1/27/98,2","1/22/98,2","1/20/98,2","2/5/98,1","2/12/98,2",time
103.7955340859,96.9519720955,100.4879418682,99.4273867114,98.3545947598,-20.8325
103.1941637502,99.5707002951,97.700705585,101.4348241024,95.5809334657,-19.9992
96.8797752255,97.6066541454,98.989012532,97.6206930595,98.3767473837,-19.1659
103.1941637502,99.8980413201,101.1303401552,96.0114522658,100.9433962264,-18.3326
94.4693646177,102.8441105447,100.2738091059,96.2121960049,99.0757008632,-17.4993
105.9052595258,94.0005366246,99.4172780567,99.6281304505,100.0076388358,-16.666
98.0825158969,95.9699490207,98.7748797697,98.8251554941,103.0402566649,-15.8327
100.4879972396,103.4987925946,101.7727384421,101.0333366242,101.8753341991,-14.9994
98.9845714004,100.225382345,97.700705585,102.0370553197,97.6777939042,-14.1661
99.8866269039,99.2433592702,101.7727384421,102.8400302761,100.0076388358,-13.3328
102.5927934145,99.2433592702,100.0596763436,99.0258992332,100.9433962264,-12.4995
101.3900527431,104.1534746445,100.0596763436,102.4385427979,100.7104117333,-11.6662
100.4879972396,104.1534746445,100.9162073928,98.4236680159,101.1763807196,-10.8329
95.3714201213,104.8135229407,98.7748797697,99.4273867114,100.4774272401,-9.9996
100.1873120718,100.225382345,102.415136729,101.6355678415,102.5742876786,-9.1663
99.5859417361,102.1894284948,100.4879418682,99.6281304505,102.1083186922,-8.333
100.1873120718,97.2793131205,99.2031452943,101.8363115806,100.2444427469,-7.4997
95.977719722,101.5347464449,101.7727384421,100.631849146,100.0076388358,-6.6664
102.2921082467,98.9160182452,98.5607470074,100.8325928851,97.5062256512,-5.8331
100.4879972396,101.5347464449,100.9162073928,101.4348241024,100.9433962264,-4.9998
100.4879972396,97.2793131205,100.7020746305,103.2448086353,100.2444427469,-4.1665
102.2921082467,98.9160182452,101.7727384421,98.2229242768,98.3767473837,-3.3332
95.977719722,101.5347464449,97.2724400604,101.6355678415,100.9433962264,-2.4999
98.0825158969,98.5886772203,98.989012532,99.8288741896,100.7104117333,-1.6666
99.5859417361,101.5347464449,98.3466142451,97.2159147004,96.6423497059,-0.8333
100.1873120718,98.2613361953,101.7727384421,99.4273867114,100.4774272401,0
119.7417065116,172.2833378052,138.6246357988,155.6685424688,215.8696814605,0.08333
220.530388919,314.1078615508,138.6246357988,156.070029947,232.4230387289,0.916633
214.2160003943,330.1529380199,185.3336609682,162.095633001,237.0865480101,1.749936
217.8242224084,338.014488865,184.2629971566,162.095633001,238.4844549691,2.583239
214.2160003943,325.5701636705,184.6912626812,164.1030703919,233.3549767016,3.416542
211.5049046187,326.5521867454,183.4064661073,162.2963767401,234.7528836605,4.249845
213.9153152265,320.9820230749,185.9760592551,164.307105012,228.6914674204,5.083148
211.8055897866,319.672658975,186.4043247797,161.6941455228,226.1286379956,5.916451
209.099423276,322.296753421,177.4072383894,166.5152861421,224.2647620503,6.749754
213.013259723,316.3992487255,179.5485660126,165.1100799684,225.1967000229,7.583057
203.381475822,316.0719077006,180.6192298241,165.7123111857,224.2647620503,8.41636
203.381475822,322.296753421,184.0488643943,165.5115674466,224.7307310366,9.249663
201.2766796471,319.672658975,181.6934040088,165.9130549248,229.8602093041,10.082966
206.0925715976,316.3992487255,179.7626987749,171.1356830223,222.1640821939,10.916269
198.8711983043,321.6367051248,183.4064661073,169.9312205878,230.0931937973,11.749572
206.3932567654,318.3632948752,180.4050970618,168.321979794,226.1286379956,12.582875
200.3746241435,320.6546820499,177.6213711518,168.5227235331,224.7307310366,13.416178
194.3559915217,319.672658975,181.6934040088,168.7234672722,227.0605759682,14.249481
195.2580470252,320.327341025,184.2629971566,169.7271859677,230.7921472768,15.082784
197.668457633,315.4172256507,182.5499350581,168.1212360549,224.9637155298,15.916087
197.668457633,327.2068687953,179.9768315372,167.5190048376,229.3942403178,16.74939
187.1346182284,318.0359538503,184.9053954435,162.4971204792,228.4584829272,17.582693
194.3559915217,323.9334585457,184.2629971566,163.3000954355,232.1900542357,18.415996
194.6566766895,315.7445666756,179.9768315372,171.5371705005,222.1640821939,19.249299
188.9436585005,320,178.477902201,166.9167736203,229.8602093041,20.082602
197.3677724651,322.296753421,178.0496366764,167.7197485767,219.1352837828,20.915905
189.845714004,324.2607995707,180.8333625864,165.1100799684,235.9216255443,21.749208
184.4284517178,327.5342098202,184.6912626812,168.9242110113,236.1546100374,22.582511
182.323655543,332.4496914408,191.3328886861,167.5190048376,234.9858681537,23.415814
188.041602997,319.0179769251,182.9782005827,167.1175173594,228.6914674204,24.249117
191.0484546754,326.2248457204,185.1195282058,164.9093362293,231.4911007562,25.08242
192.2511953468,324.5881405957,180.8333625864,170.1319643269,225.1967000229,25.915723
194.0553063538,331.467668366,188.7632955383,169.7271859677,241.7462378733,26.749026
190.1463991719,338.34182989,186.1901920174,170.7341955441,238.7174394622,27.582329
184.12776655,329.170914945,182.3358022958,171.3364267614,239.4163929417,28.415632
188.041602997,335.0684196405,179.9768315372,173.5446078915,230.0931937973,29.248935
188.3422881648,337.6871478401,185.3336609682,166.9167736203,231.4911007562,30.082238
189.845714004,339.3238529649,176.3365745779,167.3182610985,231.9570697426,30.915541
183.5263962143,333.4317145157,182.1216695335,172.9423766742,236.3875945306,31.748844
191.6498250111,332.4496914408,180.6192298241,174.9498140652,227.2935604614,32.582147
182.323655543,341.6206063858,176.3365745779,173.7453516306,234.5198991674,33.41545
186.2325627249,338.9965119399,181.6934040088,174.9498140652,231.9570697426,34.248753
187.4353033963,345.8760397102,180.8333625864,172.540889196,225.4296845161,35.082056
186.2325627249,345.2213576603,179.9768315372,174.3475828479,229.3942403178,35.915359
188.6429733327,344.8940166354,180.6192298241,168.1212360549,237.5525169964,36.748662
182.9250258786,333.7590555406,176.7648401025,171.7379142396,230.0931937973,37.581965
183.2257110465,333.1043734907,167.5501105768,168.9242110113,230.0931937973,38.415268
181.1209148716,320.9820230749,169.9090813353,167.3182610985,225.6626690092,39.248571
184.12776655,329.8255969949,172.6928072454,167.7197485767,234.5198991674,40.081874
185.0298220535,320.327341025,174.1917365816,167.9204923158,226.3616224887,40.915177
185.6311923892,322.9514354709,175.6941762909,167.9204923158,228.9244519135,41.74848
189.2443436684,318.0359538503,179.3344332503,166.7160298812,233.8209456879,42.581783
177.2070784246,318.0359538503,172.0504089585,170.533451805,233.1219922084,43.415086
178.7105042638,321.6367051248,173.12107277,168.7234672722,231.0251317699,44.248389
179.0111894317,306.2463107057,166.6935795275,170.533451805,239.4163929417,45.081692
181.1209148716,326.5521867454,174.1917365816,165.1100799684,229.1574364067,45.914995
176.0043377532,337.3598068151,165.8370484783,166.1137986639,228.225498434,46.748298
